Cloudlet ID,User ID,Status,Data Center ID,Submission Time,Start Time,Finish Time,Cloudlet Length,Processing Cost,File Size,CPU Utilization,RAM Utilization,BW Utilization,Waiting Time
290,5,SUCCESS,3,0.03,106.63,110.61,3976,206.36,981,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,106.6
132,5,SUCCESS,2,0.03,93.14,111.05,17908,69.28,463,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,93.11
144,5,SUCCESS,2,0.03,111.05,112.78,1733,113.04,568,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,111.02
265,5,SUCCESS,2,0.03,109.79,113.01,3219,89.84,673,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,109.76
138,5,SUCCESS,2,0.03,98.98,114.09,15113,90.8,536,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,98.95
296,5,SUCCESS,3,0.03,110.61,116.14,5536,178.75,780,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,110.58
284,5,SUCCESS,3,0.03,103.55,116.45,12902,126.39,569,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,103.52
285,5,SUCCESS,3,0.03,109.3,117.2,7897,141.24,897,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,109.27
267,5,SUCCESS,3,0.03,108.48,117.33,8844,177.43,794,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,108.45
259,5,SUCCESS,2,0.03,108.68,118.03,9347,68.64,509,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,108.65
202,5,SUCCESS,3,0.03,100.5,118.25,17750,104.28,562,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,100.47
326,5,SUCCESS,3,0.03,116.45,118.49,2045,137.39,559,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,116.42
162,5,SUCCESS,2,0.03,112.78,118.64,5854,111.04,579,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,112.75
345,5,SUCCESS,3,0.03,117.33,119.61,2280,169.18,686,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,117.3
167,5,SUCCESS,3,0.03,108.02,120.53,12512,129.14,610,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,107.99
244,5,SUCCESS,3,0.03,118.25,120.91,2656,189.64,834,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,118.22
301,5,SUCCESS,2,0.03,118.03,121.1,3072,153.04,999,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,118
295,5,SUCCESS,2,0.03,113.01,123.29,10282,119.92,785,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,112.98
180,5,SUCCESS,2,0.03,114.09,123.92,9830,108.16,707,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,114.06
320,5,SUCCESS,3,0.03,116.14,125.17,9031,94.38,520,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,116.11
198,5,SUCCESS,2,0.03,123.92,126.7,2775,125.12,598,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,123.89
185,5,SUCCESS,3,0.03,110.37,128.19,17817,111.1,323,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,110.34
238,5,SUCCESS,3,0.03,108.97,128.56,19589,150.37,860,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,108.94
191,5,SUCCESS,3,0.03,120.53,129.63,9096,155.87,993,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,120.5
321,5,SUCCESS,3,0.03,117.2,130.74,13539,166.76,892,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,117.17
210,5,SUCCESS,2,0.03,126.7,132.82,6123,111.52,678,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,126.67
332,5,SUCCESS,3,0.03,118.49,133.01,14518,118.47,746,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,118.46
338,5,SUCCESS,3,0.03,125.17,133.23,8056,135.41,799,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,125.14
197,5,SUCCESS,3,0.03,128.19,133.57,5383,135.63,633,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,128.16
256,5,SUCCESS,3,0.03,120.91,134.83,13919,168.52,823,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,120.88
209,5,SUCCESS,3,0.03,133.57,134.87,1297,93.5,352,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,133.54
344,5,SUCCESS,3,0.03,133.01,135.29,2279,133.87,874,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,132.98
262,5,SUCCESS,3,0.03,128.56,135.89,7329,135.96,559,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,128.53
313,5,SUCCESS,2,0.03,121.1,135.93,14833,71.52,494,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,121.07
192,5,SUCCESS,2,0.03,118.64,137.67,19034,104.8,872,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,118.61
351,5,SUCCESS,3,0.03,119.61,138.84,19234,196.24,894,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,119.58
319,5,SUCCESS,2,0.03,123.29,141.1,17807,120.4,543,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,123.26
337,5,SUCCESS,2,0.03,135.93,141.21,5278,122.08,602,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,135.9
203,5,SUCCESS,3,0.03,129.63,141.37,11736,139.26,868,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,129.6
387,5,SUCCESS,3,0.03,138.84,141.62,2780,106.59,669,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,138.81
350,5,SUCCESS,3,0.03,133.23,142.13,8900,156.75,896,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,133.2
369,5,SUCCESS,3,0.03,130.74,142.57,11827,150.59,468,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,130.71
356,5,SUCCESS,3,0.03,135.29,144.55,9263,135.41,610,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,135.26
228,5,SUCCESS,2,0.03,132.82,145.33,12510,70,423,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,132.79
368,5,SUCCESS,3,0.03,142.13,146.03,3900,120.45,783,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,142.1
355,5,SUCCESS,2,0.03,141.21,147.59,6373,118.4,755,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,141.18
246,5,SUCCESS,2,0.03,137.67,148.35,10675,129.6,707,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,137.64
227,5,SUCCESS,3,0.03,141.37,148.57,7206,118.03,553,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,141.34
280,5,SUCCESS,3,0.03,134.83,148.93,14104,137.5,825,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,134.8
380,5,SUCCESS,3,0.03,144.55,152.14,7588,172.15,607,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,144.52
405,5,SUCCESS,3,0.03,142.57,154.48,11910,159.06,593,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,142.54
221,5,SUCCESS,3,0.03,134.87,154.57,19702,136.07,781,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,134.84
286,5,SUCCESS,3,0.03,135.89,155.75,19857,197.67,853,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,135.86
257,5,SUCCESS,3,0.03,148.57,157.7,9132,168.96,571,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,148.54
276,5,SUCCESS,2,0.03,145.33,159.16,13836,125.44,779,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,145.3
343,5,SUCCESS,2,0.03,141.1,159.25,18149,119.76,962,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,141.07
399,5,SUCCESS,3,0.03,141.62,160.1,18478,175.56,803,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,141.59
292,5,SUCCESS,3,0.03,148.93,160.8,11869,192.61,982,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,148.9
404,5,SUCCESS,3,0.03,152.14,162.25,10104,139.7,901,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,152.11
392,5,SUCCESS,3,0.03,146.03,164.15,18123,188.54,791,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,146
263,5,SUCCESS,3,0.03,154.57,164.35,9781,143.22,539,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,154.54
310,5,SUCCESS,3,0.03,160.8,165.96,5154,161.7,572,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,160.77
304,5,SUCCESS,3,0.03,155.75,166.27,10527,172.59,811,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,155.72
282,5,SUCCESS,2,0.03,148.35,166.41,18068,76.48,319,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,148.32
