Cloudlet ID,User ID,Status,Data Center ID,Submission Time,Start Time,Finish Time,Cloudlet Length,Processing Cost,File Size,CPU Utilization,RAM Utilization,BW Utilization,Waiting Time
177,3,SUCCESS,2,0.01,127.9,133.12,5220,157.4,862,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,127.89
219,3,SUCCESS,2,0.01,129.89,134.39,4498,144,555,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,129.88
158,3,SUCCESS,2,0.01,129.32,134.55,5235,136.3,602,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,129.31
137,3,SUCCESS,2,0.01,116.32,134.93,18617,155.9,699,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,116.31
223,3,SUCCESS,2,0.01,131.52,135.58,4067,135.4,992,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,131.51
193,3,SUCCESS,2,0.01,134.93,137.36,2424,109,515,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,134.92
176,3,SUCCESS,2,0.01,126.99,138.95,11966,155.2,656,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,126.98
150,3,SUCCESS,2,0.01,124.3,139.01,14716,103.9,327,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,124.29
185,3,SUCCESS,2,0.01,133.12,140.34,7222,154.5,626,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,133.11
247,3,SUCCESS,2,0.01,135.58,143.14,7553,84.3,327,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,135.57
197,3,SUCCESS,2,0.01,137.36,144.81,7453,130,922,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,137.35
184,3,SUCCESS,2,0.01,138.95,147.07,8111,133.2,824,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,138.94
180,3,SUCCESS,2,0.01,129.15,147.09,17936,129.8,641,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,129.14
231,3,SUCCESS,2,0.01,134.39,148.73,14338,110,524,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,134.38
221,3,SUCCESS,2,0.01,144.81,149.73,4916,142.8,604,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,144.8
255,3,SUCCESS,2,0.01,143.14,150.04,6903,143.6,542,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,143.13
162,3,SUCCESS,2,0.01,134.55,151.74,17187,108.7,325,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,134.54
267,3,SUCCESS,2,0.01,148.73,153.31,4579,159.4,734,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,148.72
295,3,SUCCESS,2,0.01,153.31,154.59,1284,112.7,401,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,153.3
170,3,SUCCESS,2,0.01,139.01,154.63,15613,149.9,912,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,139
217,3,SUCCESS,2,0.01,140.34,155.38,15036,87.6,421,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,140.33
233,3,SUCCESS,2,0.01,155.38,157.45,2075,146.8,545,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,155.37
196,3,SUCCESS,2,0.01,147.09,159.05,11964,154.8,641,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,147.08
283,3,SUCCESS,2,0.01,150.04,159.07,9027,168.5,697,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,150.03
188,3,SUCCESS,2,0.01,147.07,160.13,13066,162.7,973,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,147.06
182,3,SUCCESS,2,0.01,151.74,163.74,11997,172.2,964,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,151.73
225,3,SUCCESS,2,0.01,149.73,164.5,14777,138.6,431,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,149.72
220,3,SUCCESS,2,0.01,160.13,164.86,4731,158.2,757,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,160.12
299,3,SUCCESS,2,0.01,154.59,168.54,13946,128.1,382,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,154.58
249,3,SUCCESS,2,0.01,164.5,169.27,4764,110.2,380,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,164.49
194,3,SUCCESS,2,0.01,163.74,169.48,5741,107.4,720,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,163.73
208,3,SUCCESS,2,0.01,159.05,170.72,11664,151.4,816,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,159.04
236,3,SUCCESS,2,0.01,164.86,172.68,7821,129,351,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,164.85
190,3,SUCCESS,2,0.01,154.63,173.13,18504,79.5,346,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,154.62
237,3,SUCCESS,2,0.01,157.45,174.37,16916,137.5,377,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,157.44
202,3,SUCCESS,2,0.01,169.48,176.79,7315,116,455,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,169.47
256,3,SUCCESS,2,0.01,172.68,177.58,4897,96.4,540,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,172.67
261,3,SUCCESS,2,0.01,174.37,177.96,3591,95,478,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,174.36
311,3,SUCCESS,2,0.01,159.07,178.94,19869,147.7,917,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,159.06
265,3,SUCCESS,2,0.01,177.96,179.19,1232,84.1,356,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,177.95
210,3,SUCCESS,2,0.01,173.13,179.7,6573,124.5,702,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,173.12
214,3,SUCCESS,2,0.01,176.79,184.19,7393,121.9,585,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,176.78
222,3,SUCCESS,2,0.01,179.7,184.58,4873,142.7,800,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,179.69
252,3,SUCCESS,2,0.01,170.72,185.44,14727,112.4,705,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,170.71
253,3,SUCCESS,2,0.01,169.27,186.17,16904,145.5,564,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,169.26
315,3,SUCCESS,2,0.01,168.54,186.67,18128,116.8,621,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,168.53
269,3,SUCCESS,2,0.01,179.19,187.33,8133,130.4,705,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,179.18
276,3,SUCCESS,2,0.01,185.44,187.44,2002,164.7,686,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,185.43
327,3,SUCCESS,2,0.01,178.94,191.42,12484,147.2,986,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,178.93
277,3,SUCCESS,2,0.01,187.33,192.47,5142,129.6,678,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,187.32
296,3,SUCCESS,2,0.01,187.44,192.68,5237,131.3,864,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,187.43
268,3,SUCCESS,2,0.01,177.58,193.37,15786,144.7,659,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,177.57
273,3,SUCCESS,2,0.01,186.17,195.76,9589,121,580,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,186.16
230,3,SUCCESS,2,0.01,184.19,196.49,12309,147.3,840,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,184.18
234,3,SUCCESS,2,0.01,184.58,197.67,13092,114.3,378,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,184.57
331,3,SUCCESS,2,0.01,186.67,199.49,12828,127.6,898,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,186.66
285,3,SUCCESS,2,0.01,192.47,199.79,7326,66.4,316,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,192.46
242,3,SUCCESS,2,0.01,197.67,202.26,4594,167,865,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,197.66
313,3,SUCCESS,2,0.01,199.79,205.45,5652,124.2,383,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,199.78
339,3,SUCCESS,2,0.01,191.42,206.79,15361,181.4,876,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,191.41
246,3,SUCCESS,2,0.01,202.26,208,5735,123.6,655,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,202.25
325,3,SUCCESS,2,0.01,205.45,208.55,3107,155.4,651,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,205.44
238,3,SUCCESS,2,0.01,196.49,210.03,13539,114.7,663,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,196.48
300,3,SUCCESS,2,0.01,192.68,211.23,18546,125.2,497,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,192.67
312,3,SUCCESS,2,0.01,193.37,211.79,18427,151,762,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,193.36
297,3,SUCCESS,2,0.01,195.76,213.29,17528,194.1,988,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,195.75
337,3,SUCCESS,2,0.01,208.55,215.49,6933,116,616,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,208.54
347,3,SUCCESS,2,0.01,206.79,215.91,9127,156.6,946,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,206.78
258,3,SUCCESS,2,0.01,210.03,216.83,6792,114.5,783,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,210.02
343,3,SUCCESS,2,0.01,199.49,217.2,17706,186.2,894,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,199.48
316,3,SUCCESS,2,0.01,211.23,217.59,6359,158.8,699,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,211.22
363,3,SUCCESS,2,0.01,217.2,218.51,1312,106.1,459,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,217.19
389,3,SUCCESS,2,0.01,215.49,218.74,3249,93.6,551,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,215.48
270,3,SUCCESS,2,0.01,216.83,221.26,4439,153.3,941,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,216.82
381,3,SUCCESS,2,0.01,213.29,221.92,8631,126.2,437,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,213.28
324,3,SUCCESS,2,0.01,217.59,223.77,6187,158.5,920,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,217.58
254,3,SUCCESS,2,0.01,208,225.71,17715,126.9,546,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,207.99
379,3,SUCCESS,2,0.01,218.51,226.58,8064,128.7,375,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,218.5
278,3,SUCCESS,2,0.01,225.71,227.86,2151,144,817,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,225.7
274,3,SUCCESS,2,0.01,221.26,228.43,7162,75.5,446,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,221.25
355,3,SUCCESS,2,0.01,215.91,228.72,12811,93.6,516,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,215.9
336,3,SUCCESS,2,0.01,223.77,230.02,6251,153.3,535,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,223.76
421,3,SUCCESS,2,0.01,221.92,230.33,8412,91.9,468,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,221.91
320,3,SUCCESS,2,0.01,211.79,231.63,19837,131.1,322,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,211.78
340,3,SUCCESS,2,0.01,230.02,232.01,1981,177.9,797,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,230.01
413,3,SUCCESS,2,0.01,218.74,234.59,15855,141.9,651,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,218.73
286,3,SUCCESS,2,0.01,227.86,234.69,6824,157,740,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,227.85
294,3,SUCCESS,2,0.01,234.69,236.77,2086,102.5,397,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,234.68
344,3,SUCCESS,2,0.01,231.63,237.43,5800,138.2,920,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,231.62
360,3,SUCCESS,2,0.01,232.01,240.8,8799,134.9,395,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,232
391,3,SUCCESS,2,0.01,228.72,241.42,12700,114.1,750,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,228.71
383,3,SUCCESS,2,0.01,226.58,242.45,15876,187.5,888,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,226.57
290,3,SUCCESS,2,0.01,228.43,242.75,14321,174.2,940,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,228.42
425,3,SUCCESS,2,0.01,230.33,245.19,14858,104,380,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,230.32
298,3,SUCCESS,2,0.01,236.77,248.27,11494,186.9,999,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,236.76
322,3,SUCCESS,2,0.01,242.75,249.95,7205,98.1,385,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,242.74
437,3,SUCCESS,2,0.01,234.59,250.32,15733,120.3,817,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,234.58
399,3,SUCCESS,2,0.01,242.45,251.94,9489,112.6,791,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,242.44
441,3,SUCCESS,2,0.01,245.19,254.03,8842,133.4,336,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,245.18
368,3,SUCCESS,2,0.01,237.43,254.46,17026,149.8,769,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,237.42
407,3,SUCCESS,2,0.01,251.94,256.35,4413,125.7,778,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,251.93
372,3,SUCCESS,2,0.01,240.8,258.13,17322,142.3,983,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,240.79
395,3,SUCCESS,2,0.01,241.42,258.33,16903,73.8,348,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,241.41
392,3,SUCCESS,2,0.01,258.13,262.57,4448,177.2,898,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,258.12
338,3,SUCCESS,2,0.01,248.27,262.91,14642,139.8,920,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,248.26
411,3,SUCCESS,2,0.01,256.35,264.37,8012,157.5,960,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,256.34
415,3,SUCCESS,2,0.01,258.33,264.56,6229,165.5,656,UtilizationModelFull,UtilizationModelFull,UtilizationModelFull,258.32
